sales_agent,account,product,order_value,create_date
Reed Clapper,Donware,GTX Basic,572,8/4/17
Reed Clapper,Xx-zobam,GTX Plus Basic,1091,8/2/17
Reed Clapper,Condax,MG Special,51,8/2/17
Darcel Schlecht,Cancity,GTXPro,4359,8/14/17
Anna Snelling,Finhigh,GTX Basic,489,8/3/17
Darcel Schlecht,Codehow,GTXPro,5820,8/9/17
Donn Cantrell,Acme Corporation,MG Advanced,3012,8/5/17
Boris Faz,Zotware,MG Advanced,3138,8/4/17
Cassey Cress,Gekko & Co,MG Advanced,3808,8/4/17
Kary Hendrixson,Singletechno,GTXPro,4554,8/6/17
Versie Hillebrand,Scottech,MG Special,52,8/3/17
Cassey Cress,Acme Corporation,GTX Plus Basic,1161,8/10/17
Jonathan Berthelot,Domzoom,GTX Plus Pro,5203,8/3/17
Cassey Cress,Bubba Gump,GTX Plus Basic,1033,8/21/17
Vicki Laflamme,Plexzap,GTXPro,5040,8/12/17
Jonathan Berthelot,Inity,GTX Basic,570,8/12/17
Lajuana Vencill,Warephase,MG Special,52,8/11/17
Corliss Cosme,Plussunin,GTXPro,4505,8/4/17
Darcel Schlecht,Scottech,GTXPro,5191,8/15/17
Violet Mclelland,Bioplex,MG Advanced,2981,8/4/17
Kary Hendrixson,Labdrill,GTXPro,4901,8/8/17
Moses Frase,Treequote,MG Advanced,3025,8/16/17
Gladys Colclough,dambase,GTX Plus Basic,821,8/1/17
Lajuana Vencill,Dontechi,GTX Plus Basic,999,8/7/17
Lajuana Vencill,dambase,MG Special,54,8/5/17
Versie Hillebrand,Gogozoom,MG Special,59,8/15/17
Anna Snelling,Rangreen,MG Advanced,3334,8/14/17
Moses Frase,Warephase,GTX Basic,599,8/14/17
Lajuana Vencill,Rangreen,GTX Plus Pro,5913,8/8/17
Rosalina Dieter,Groovestreet,GTX Plus Basic,1210,8/21/17
Cecily Lampkin,Genco Pura Olive Oil Company,MG Advanced,3139,8/10/17
Corliss Cosme,Initech,GTX Basic,527,8/11/17
Hayden Neloms,Labdrill,GTX Plus Pro,5408,8/12/17
Hayden Neloms,Groovestreet,MG Special,62,8/12/17
Kary Hendrixson,Lexiqvolax,GTX Basic,532,8/6/17
Kary Hendrixson,Newex,GTX Basic,585,8/13/17
Lajuana Vencill,Ron-tech,GTX Basic,583,8/11/17
Rosie Papadopoulos,Plussunin,GTXPro,5182,8/12/17
Anna Snelling,Globex Corporation,MG Special,64,8/28/17
Darcel Schlecht,Warephase,GTX Plus Basic,878,8/23/17
James Ascencio,Singletechno,MG Special,65,8/20/17
Jonathan Berthelot,Hottechi,GTX Basic,543,8/11/17
Versie Hillebrand,dambase,GTX Plus Pro,5145,8/19/17
Versie Hillebrand,Cancity,MG Special,54,8/9/17
Anna Snelling,Codehow,MG Special,53,8/1/17
