sales_agent,account,product,order_value,create_date
Jonathan Berthelot,Isdom,GTX Plus Basic,1149,7/1/17
Maureen Marcano,Plusstrip,MG Special,57,7/1/17
Versie Hillebrand,Finhigh,GTX Plus Pro,4813,7/1/17
Vicki Laflamme,Blackzim,MG Special,51,7/1/17
Cassey Cress,Iselectrics,MG Special,60,7/3/17
Darcel Schlecht,Isdom,GTXPro,4826,7/1/17
Donn Cantrell,Massive Dynamic,GTX Basic,553,7/2/17
Niesha Huffines,Gogozoom,GTX Basic,557,7/3/17
Versie Hillebrand,Zumgoity,MG Advanced,3465,7/1/17
Cecily Lampkin,Treequote,MG Special,66,7/5/17
Corliss Cosme,Iselectrics,GTX Plus Pro,5640,7/1/17
Gladys Colclough,Conecom,MG Special,49,7/3/17
Niesha Huffines,Condax,GTX Plus Basic,932,7/2/17
Reed Clapper,Donquadtech,GTX Plus Basic,880,7/4/17
Rosie Papadopoulos,Konex,MG Special,59,7/1/17
Anna Snelling,Stanredtax,MG Special,64,7/2/17
Corliss Cosme,Zotware,GTXPro,5088,7/2/17
Markita Hansen,Blackzim,MG Special,59,7/2/17
Moses Frase,Betatech,MG Advanced,3355,7/5/17
Darcel Schlecht,Ron-tech,GTX Plus Pro,5536,7/8/17
Darcel Schlecht,Domzoom,MG Special,54,7/3/17
Donn Cantrell,Zotware,MG Advanced,3423,7/5/17
Lajuana Vencill,Isdom,GTX Plus Pro,5536,7/3/17
Marty Freudenburg,Warephase,GTX Plus Basic,839,7/2/17
Violet Mclelland,Xx-zobam,MG Special,60,7/2/17
Zane Levy,Rantouch,GTX Plus Basic,1137,7/3/17
Boris Faz,Yearin,GTX Plus Pro,5201,7/4/17
Cecily Lampkin,Toughzap,GTX Basic,612,7/6/17
Donn Cantrell,Bioplex,GTX Basic,541,7/6/17
Gladys Colclough,Cancity,GTXPro,5081,7/2/17
Jonathan Berthelot,Cancity,GTX Basic,504,7/3/17
Marty Freudenburg,Streethex,GTX Plus Pro,4181,7/5/17
Maureen Marcano,Hatfan,GTX Basic,518,7/6/17
Zane Levy,Nam-zim,GTX Basic,617,7/4/17
Anna Snelling,Warephase,GTX Plus Basic,991,7/6/17
Corliss Cosme,Ganjaflex,GTX Plus Pro,5121,7/7/17
Darcel Schlecht,Zumgoity,GTXPro,4635,7/6/17
Kami Bicknell,Blackzim,MG Special,59,7/7/17
Marty Freudenburg,Globex Corporation,GTX Plus Basic,1176,7/2/17
Moses Frase,Statholdings,GTX Basic,541,7/5/17
Niesha Huffines,Domzoom,GTX Plus Pro,4766,7/1/17
Reed Clapper,Vehement Capital Partners,GTXPro,4785,7/1/17
Versie Hillebrand,Ron-tech,MG Advanced,3548,7/4/17
Vicki Laflamme,Rantouch,MG Advanced,3615,7/7/17
Darcel Schlecht,Streethex,GTXPro,4162,7/7/17
Donn Cantrell,Iselectrics,GTXPro,5064,7/2/17
Gladys Colclough,Conecom,MG Advanced,3865,7/7/17
Kary Hendrixson,Singletechno,GTX Plus Basic,1028,7/4/17
Versie Hillebrand,Dontechi,GTX Basic,462,7/2/17
Vicki Laflamme,Scotfind,GTXPro,4264,7/3/17
Anna Snelling,Betatech,GTX Plus Basic,1047,7/10/17
Darcel Schlecht,Warephase,GTXPro,5321,7/8/17
Darcel Schlecht,Globex Corporation,MG Special,57,7/6/17
Garret Kinder,Kan-code,GTX Plus Basic,950,7/8/17
Garret Kinder,Xx-zobam,MG Special,62,7/8/17
Gladys Colclough,Isdom,GTX Plus Basic,1105,7/7/17
Moses Frase,Rundofase,MG Advanced,3676,7/6/17
Reed Clapper,Plussunin,GTXPro,4837,7/9/17
Versie Hillebrand,Konmatfix,GTX Basic,466,7/10/17
Vicki Laflamme,Newex,GTXPro,4856,7/4/17
Vicki Laflamme,Plexzap,MG Advanced,3562,7/8/17
Violet Mclelland,Mathtouch,GTXPro,5159,7/9/17
Violet Mclelland,Kinnamplus,MG Advanced,3172,7/11/17
Zane Levy,Goodsilron,GTX Basic,595,7/10/17
Boris Faz,Yearin,GTX Plus Basic,1167,7/2/17
Darcel Schlecht,Conecom,GTXPro,4749,7/6/17
Elease Gluck,Labdrill,MG Special,51,7/9/17
Marty Freudenburg,Konmatfix,MG Advanced,3699,7/9/17
Maureen Marcano,Cheers,GTX Plus Pro,5909,7/7/17
Reed Clapper,Zencorporation,MG Advanced,3351,7/11/17
Rosalina Dieter,Nam-zim,MG Special,64,7/9/17
Versie Hillebrand,dambase,MG Special,47,7/11/17
Versie Hillebrand,Dontechi,MG Special,53,7/1/17
Cecily Lampkin,Globex Corporation,GTX Plus Pro,4391,7/11/17
Darcel Schlecht,Statholdings,GTX Plus Basic,1308,7/11/17
Gladys Colclough,Isdom,MG Advanced,3252,7/6/17
Jonathan Berthelot,Scottech,GTX Basic,574,7/11/17
Kary Hendrixson,Dalttechnology,GTX Basic,576,7/7/17
Markita Hansen,J-Texon,GTX Basic,592,7/12/17
Markita Hansen,Doncon,GTXPro,4859,7/9/17
Markita Hansen,Green-Plus,MG Special,50,7/2/17
Marty Freudenburg,Stanredtax,GTX Plus Pro,5422,7/9/17
Marty Freudenburg,Domzoom,MG Advanced,3657,7/11/17
Maureen Marcano,Goodsilron,GTX Plus Pro,4974,7/10/17
Niesha Huffines,Warephase,MG Special,50,7/12/17
Vicki Laflamme,Kan-code,GTX Basic,571,7/11/17
Anna Snelling,Statholdings,GTX Plus Basic,1180,7/9/17
Cassey Cress,Zathunicon,GTX Plus Pro,5274,7/4/17
Cecily Lampkin,Rundofase,GTX Basic,480,7/4/17
Corliss Cosme,Ontomedia,GTXPro,4830,7/8/17
Darcel Schlecht,Finhigh,GTX Plus Pro,5333,7/4/17
Violet Mclelland,Yearin,MG Special,55,7/13/17
Donn Cantrell,Kan-code,GTX Basic,540,7/12/17
Donn Cantrell,Konex,GTX Plus Pro,4915,7/4/17
Jonathan Berthelot,Hottechi,MG Advanced,3101,7/5/17
Kary Hendrixson,Cheers,GTX Plus Basic,935,7/12/17
Kary Hendrixson,Singletechno,GTX Plus Basic,1133,7/13/17
Marty Freudenburg,Funholding,GTX Plus Basic,1204,7/11/17
Vicki Laflamme,Lexiqvolax,GTX Basic,491,7/14/17
Anna Snelling,Dontechi,MG Special,56,7/6/17
Darcel Schlecht,Rundofase,GTXPro,4544,7/5/17
Donn Cantrell,Bubba Gump,GTXPro,4669,7/13/17
Moses Frase,Ron-tech,GTX Plus Basic,1102,7/5/17
Moses Frase,Zumgoity,MG Special,55,7/9/17
Versie Hillebrand,Cancity,MG Special,63,7/5/17
Vicki Laflamme,Plusstrip,GTX Plus Pro,5971,7/14/17
Cassey Cress,Betasoloin,GTX Plus Basic,1109,7/14/17
Cassey Cress,The New York Inquirer,MG Advanced,3508,7/6/17
James Ascencio,Hottechi,GTXPro,5157,7/6/17
Jonathan Berthelot,Globex Corporation,GTXPro,4213,7/17/17
Kami Bicknell,Konex,GTX Plus Basic,1230,7/12/17
Kary Hendrixson,Sunnamplex,GTX Basic,443,7/15/17
Rosie Papadopoulos,Kan-code,MG Special,58,7/14/17
Cecily Lampkin,Inity,GTX Basic,590,7/8/17
Cecily Lampkin,Isdom,GTX Plus Pro,5629,7/14/17
Darcel Schlecht,Treequote,GTXPro,5085,7/12/17
Donn Cantrell,Zotware,MG Advanced,2996,7/17/17
Garret Kinder,Condax,GTXPro,4682,7/14/17
Hayden Neloms,Sonron,MG Advanced,3250,7/14/17
Marty Freudenburg,Funholding,GTX Plus Pro,5966,7/7/17
Maureen Marcano,Labdrill,MG Advanced,3452,7/16/17
Vicki Laflamme,Faxquote,GTX Basic,583,7/13/17
Boris Faz,Betasoloin,GTX Basic,574,7/9/17
Cecily Lampkin,Isdom,GTX Basic,458,7/15/17
Daniell Hammack,Bluth Company,GTX Plus Basic,1107,7/9/17
Daniell Hammack,Acme Corporation,GTXPro,4089,7/8/17
Jonathan Berthelot,Dontechi,MG Special,64,7/11/17
Kary Hendrixson,Finjob,GTX Basic,565,7/9/17
Kary Hendrixson,Kan-code,GTX Basic,579,7/17/17
Marty Freudenburg,Inity,GTX Plus Basic,1193,7/17/17
Niesha Huffines,Betatech,GTX Plus Basic,1088,7/11/17
Vicki Laflamme,Green-Plus,GTX Plus Pro,4466,7/13/17
Cassey Cress,Konex,GTX Plus Basic,861,7/16/17
Corliss Cosme,Umbrella Corporation,GTXPro,5137,7/19/17
Darcel Schlecht,Betatech,MG Special,54,7/16/17
Donn Cantrell,Kinnamplus,GTX Plus Basic,1020,7/14/17
Donn Cantrell,Konex,MG Special,55,7/14/17
Garret Kinder,Kinnamplus,GTX Basic,483,7/9/17
James Ascencio,Kan-code,GTX Plus Pro,5284,7/16/17
Kary Hendrixson,Green-Plus,GTX Plus Basic,993,7/9/17
Reed Clapper,Kan-code,GTXPro,4530,7/15/17
Rosie Papadopoulos,Xx-zobam,MG Advanced,3569,7/9/17
Zane Levy,Kan-code,GTX Plus Pro,5576,7/17/17
Boris Faz,Zathunicon,GTX Basic,457,7/16/17
Corliss Cosme,Gekko & Co,GTX Basic,665,7/10/17
Corliss Cosme,Zathunicon,GTX Plus Basic,1122,7/15/17
Corliss Cosme,Umbrella Corporation,GTX Plus Pro,5578,7/18/17
Gladys Colclough,Funholding,GTXPro,4440,7/11/17
Jonathan Berthelot,Cancity,MG Special,53,7/19/17
Lajuana Vencill,Inity,GTX Plus Basic,1192,7/13/17
Moses Frase,Warephase,GTX Plus Pro,4651,7/18/17
Anna Snelling,Domzoom,GTX Plus Basic,962,7/17/17
Boris Faz,Silis,GTX Plus Basic,1063,7/21/17
Gladys Colclough,Warephase,GTXPro,4631,7/18/17
Gladys Colclough,Isdom,MG Advanced,3230,7/19/17
Hayden Neloms,Condax,MG Special,59,7/19/17
Kami Bicknell,Dalttechnology,MG Special,42,7/11/17
Moses Frase,Isdom,GTX Basic,588,7/19/17
Reed Clapper,Yearin,MG Special,54,7/17/17
Daniell Hammack,Initech,GTX Plus Pro,4881,7/19/17
Gladys Colclough,Genco Pura Olive Oil Company,MG Advanced,2878,7/12/17
James Ascencio,Goodsilron,MG Special,57,7/18/17
Jonathan Berthelot,Treequote,GTX Basic,576,7/12/17
Jonathan Berthelot,Konmatfix,GTX Plus Basic,1258,7/18/17
Kary Hendrixson,Hottechi,GTX Basic,491,7/20/17
Reed Clapper,Konex,GTX Plus Basic,1076,7/20/17
Rosalina Dieter,Zoomit,MG Special,57,7/19/17
Hayden Neloms,Sunnamplex,MG Advanced,3741,7/23/17
Hayden Neloms,Y-corporation,MG Advanced,2905,7/14/17
Reed Clapper,Silis,GTX Plus Pro,5538,7/18/17
Boris Faz,Kan-code,MG Advanced,3420,7/23/17
Darcel Schlecht,Bioholding,GTXPro,5382,7/16/17
Elease Gluck,Faxquote,GTXPro,5703,7/18/17
Lajuana Vencill,Inity,GTX Basic,536,7/19/17
Niesha Huffines,Codehow,GTX Basic,550,7/24/17
Niesha Huffines,Ron-tech,GTX Basic,585,7/14/17
Reed Clapper,Bubba Gump,GTXPro,5873,7/22/17
Anna Snelling,Treequote,MG Special,44,7/17/17
Cecily Lampkin,Inity,GTX Plus Pro,5537,7/16/17
Darcel Schlecht,Statholdings,GTX Plus Basic,1144,7/26/17
Hayden Neloms,Xx-holding,MG Advanced,3362,7/15/17
James Ascencio,Goodsilron,GTX Plus Pro,5013,7/21/17
Kary Hendrixson,Groovestreet,GTXPro,5161,7/24/17
Lajuana Vencill,Genco Pura Olive Oil Company,GTX Basic,579,7/16/17
Lajuana Vencill,Warephase,MG Advanced,3411,7/24/17
Markita Hansen,Plusstrip,MG Advanced,3973,7/15/17
Reed Clapper,Zathunicon,GTX Plus Basic,1029,7/15/17
Rosie Papadopoulos,Gekko & Co,MG Special,59,7/23/17
Violet Mclelland,Iselectrics,MG Special,48,7/15/17
Zane Levy,Finjob,MG Special,57,7/25/17
Donn Cantrell,Condax,MG Advanced,3724,7/25/17
Reed Clapper,Ganjaflex,GTX Basic,555,7/16/17
Rosalina Dieter,Lexiqvolax,GTX Basic,650,7/23/17
Vicki Laflamme,Konex,MG Special,61,7/21/17
Vicki Laflamme,Newex,MG Special,54,7/17/17
Anna Snelling,Rangreen,MG Special,59,7/25/17
Cassey Cress,Acme Corporation,GTXPro,5318,7/28/17
Cecily Lampkin,Konmatfix,MG Special,62,7/24/17
Darcel Schlecht,Rundofase,GTX Basic,538,7/18/17
Darcel Schlecht,Betatech,GTXPro,4488,7/17/17
Kami Bicknell,Singletechno,GTX Plus Basic,1109,7/21/17
Kami Bicknell,Zoomit,GTX Plus Basic,1106,7/23/17
Kary Hendrixson,Labdrill,GTX Plus Pro,5008,7/26/17
Kary Hendrixson,Y-corporation,GTXPro,5621,7/19/17
Lajuana Vencill,Rangreen,GTX Basic,550,7/17/17
Wilburn Farren,Kinnamplus,MG Special,52,7/25/17
Cassey Cress,Plussunin,GTX Plus Basic,1202,7/20/17
Darcel Schlecht,Isdom,GTXPro,5673,7/19/17
Hayden Neloms,Cheers,MG Advanced,3363,7/24/17
Jonathan Berthelot,Toughzap,GTX Basic,617,7/24/17
Jonathan Berthelot,Warephase,GTX Basic,490,7/26/17
Kary Hendrixson,Kan-code,MG Advanced,3665,7/26/17
Marty Freudenburg,Rangreen,MG Special,53,7/26/17
Maureen Marcano,Sonron,GTXPro,4683,7/25/17
Niesha Huffines,Statholdings,GTX Plus Basic,1114,7/27/17
Rosie Papadopoulos,Plussunin,MG Special,57,7/25/17
Vicki Laflamme,Goodsilron,GTX Basic,496,7/18/17
Zane Levy,Goodsilron,GTXPro,5268,7/28/17
Anna Snelling,Condax,MG Special,54,7/27/17
Cassey Cress,Opentech,MG Advanced,3407,7/28/17
Darcel Schlecht,Treequote,GTX Plus Basic,752,7/19/17
Elease Gluck,Zoomit,GTX Basic,532,7/28/17
Hayden Neloms,Finjob,MG Advanced,3403,7/28/17
James Ascencio,Plusstrip,GTX Plus Pro,5440,7/27/17
Marty Freudenburg,Globex Corporation,GTX Plus Pro,5698,7/26/17
Moses Frase,Genco Pura Olive Oil Company,GTX Basic,563,7/28/17
Vicki Laflamme,Sonron,GTX Plus Pro,4673,7/27/17
Vicki Laflamme,Konex,MG Advanced,3405,7/28/17
Anna Snelling,Betatech,MG Special,53,7/25/17
Corliss Cosme,Donquadtech,GTX Plus Basic,955,7/30/17
Darcel Schlecht,Gogozoom,GTXPro,5401,7/26/17
Garret Kinder,Kan-code,GTX Plus Pro,4895,7/26/17
Gladys Colclough,Treequote,GTX Plus Pro,4907,7/21/17
Hayden Neloms,Faxquote,MG Advanced,2718,7/28/17
Lajuana Vencill,Genco Pura Olive Oil Company,GTX Basic,537,7/29/17
Lajuana Vencill,Dontechi,GTX Plus Basic,1089,7/30/17
Lajuana Vencill,Codehow,MG Advanced,3352,7/27/17
Markita Hansen,Singletechno,GTX Basic,535,7/23/17
Moses Frase,Bioholding,MG Advanced,3985,7/27/17
Rosie Papadopoulos,Massive Dynamic,MG Advanced,3568,7/21/17
Versie Hillebrand,Funholding,MG Special,65,7/27/17
