sales_agent,account,product,order_value,create_date
Corliss Cosme,Zencorporation,GTXPro,5133,6/28/17
Gladys Colclough,Toughzap,GTXPro,4498,6/15/17
Hayden Neloms,Fasehatice,MG Advanced,3763,6/4/17
Markita Hansen,Y-corporation,GTX Plus Pro,5503,6/17/17
Zane Levy,Scotfind,GTX Plus Basic,1220,6/2/17
Anna Snelling,Conecom,GTX Plus Basic,1056,6/10/17
Darcel Schlecht,Gogozoom,GTXPro,5643,6/28/17
Moses Frase,Bioholding,GTX Basic,516,6/16/17
Moses Frase,Condax,GTX Plus Basic,956,6/6/17
Reed Clapper,The New York Inquirer,GTXPro,5618,6/10/17
Jonathan Berthelot,Hottechi,GTX Plus Basic,1055,6/16/17
Violet Mclelland,Massive Dynamic,MG Advanced,3246,6/6/17
Cassey Cress,Initech,GTX Basic,542,6/18/17
Darcel Schlecht,Cancity,MG Advanced,3295,6/13/17
Donn Cantrell,Plussunin,GTX Basic,568,6/2/17
Marty Freudenburg,Scottech,GTX Plus Basic,1081,6/30/17
Reed Clapper,Xx-zobam,MG Advanced,3075,6/10/17
Wilburn Farren,Konex,MG Advanced,3336,6/2/17
Gladys Colclough,Dontechi,GTXPro,5142,6/8/17
Versie Hillebrand,Domzoom,MG Special,61,6/18/17
Anna Snelling,dambase,GTX Basic,574,6/4/17
Gladys Colclough,Cancity,GTX Plus Basic,1008,6/24/17
Gladys Colclough,Zumgoity,GTXPro,4458,6/22/17
James Ascencio,Dalttechnology,MG Advanced,3813,6/5/17
Kary Hendrixson,Kan-code,GTXPro,3893,6/19/17
Lajuana Vencill,Bioholding,GTX Basic,530,6/1/17
Markita Hansen,Goodsilron,GTK 500,29617,6/27/17
Marty Freudenburg,Domzoom,MG Advanced,2863,6/28/17
Moses Frase,Codehow,MG Advanced,4109,6/28/17
Rosie Papadopoulos,Bubba Gump,MG Special,53,6/30/17
Cassey Cress,Umbrella Corporation,MG Advanced,3986,6/15/17
Daniell Hammack,Donquadtech,GTXPro,5105,6/5/17
Darcel Schlecht,Genco Pura Olive Oil Company,GTX Basic,516,6/22/17
Darcel Schlecht,Rundofase,GTXPro,4407,6/2/17
Donn Cantrell,Zathunicon,MG Advanced,3087,6/19/17
James Ascencio,Hatfan,GTX Basic,463,6/29/17
Lajuana Vencill,Rundofase,GTX Basic,524,6/15/17
Reed Clapper,Zencorporation,GTX Plus Basic,1161,6/1/17
Reed Clapper,Mathtouch,GTX Plus Pro,6046,6/3/17
Anna Snelling,Hottechi,MG Advanced,3415,6/26/17
Cassey Cress,Massive Dynamic,GTXPro,4256,6/30/17
Gladys Colclough,Treequote,MG Advanced,4082,6/2/17
Moses Frase,Streethex,GTX Basic,465,6/17/17
Moses Frase,Konmatfix,MG Special,50,6/14/17
Reed Clapper,Kan-code,MG Advanced,3558,6/3/17
Versie Hillebrand,Warephase,MG Special,50,6/16/17
Vicki Laflamme,Zoomit,GTX Plus Basic,1086,6/1/17
Violet Mclelland,Umbrella Corporation,GTXPro,4756,6/24/17
Violet Mclelland,Gekko & Co,MG Special,67,6/19/17
Wilburn Farren,Iselectrics,MG Advanced,3783,6/9/17
Darcel Schlecht,Codehow,GTX Plus Pro,4856,6/19/17
Donn Cantrell,Mathtouch,GTX Basic,487,6/11/17
Donn Cantrell,Donquadtech,GTX Plus Basic,1166,6/12/17
Jonathan Berthelot,Scottech,GTX Basic,595,6/6/17
Kami Bicknell,Condax,MG Special,49,6/4/17
Anna Snelling,Rundofase,MG Special,54,6/22/17
Boris Faz,Donquadtech,GTX Plus Pro,6173,6/8/17
Moses Frase,Globex Corporation,GTX Plus Basic,1020,6/1/17
Anna Snelling,Codehow,GTX Basic,522,6/13/17
Anna Snelling,Genco Pura Olive Oil Company,MG Advanced,3081,6/7/17
Lajuana Vencill,Funholding,GTX Basic,496,6/22/17
Reed Clapper,Kan-code,GTX Basic,521,6/27/17
Zane Levy,Blackzim,GTXPro,5876,6/11/17
Daniell Hammack,Acme Corporation,GTX Plus Basic,966,6/8/17
Hayden Neloms,Cheers,MG Advanced,3397,6/28/17
Lajuana Vencill,Rangreen,GTX Basic,494,6/6/17
Vicki Laflamme,Konex,GTX Basic,642,6/14/17
Kary Hendrixson,Kan-code,GTX Basic,494,6/29/17
Marty Freudenburg,Isdom,GTX Basic,545,6/11/17
Maureen Marcano,Y-corporation,GTX Basic,584,6/1/17
Moses Frase,dambase,MG Advanced,3714,6/9/17
Anna Snelling,Globex Corporation,GTX Plus Pro,6023,6/11/17
Donn Cantrell,Vehement Capital Partners,GTXPro,5256,6/10/17
Elease Gluck,Hottechi,GTXPro,4327,6/7/17
Niesha Huffines,Isdom,GTX Plus Basic,1190,6/12/17
Cecily Lampkin,Bioholding,MG Special,59,6/3/17
Corliss Cosme,Bubba Gump,GTX Plus Basic,857,6/2/17
Daniell Hammack,Massive Dynamic,GTX Plus Basic,1142,6/27/17
Hayden Neloms,Rantouch,GTX Plus Basic,1039,6/16/17
Rosie Papadopoulos,Acme Corporation,MG Special,61,6/22/17
