sales_agent,account,product,order_value,create_date
Moses Frase,Cancity,GTX Plus Basic,1054,3/1/17
Cecily Lampkin,Isdom,GTX Plus Pro,5882,3/1/17
Kami Bicknell,Finjob,MG Advanced,3295,3/1/17
Anna Snelling,Conecom,GTX Basic,625,3/1/17
Reed Clapper,Acme Corporation,GTX Basic,556,3/1/17
Anna Snelling,Codehow,GTX Plus Pro,5087,3/1/17
Kary Hendrixson,Goodsilron,GTX Basic,550,3/1/17
Anna Snelling,Rundofase,MG Special,65,3/1/17
Anna Snelling,Ron-tech,MG Special,49,3/1/17
James Ascencio,Sonron,GTX Basic,511,3/1/17
Marty Freudenburg,Conecom,GTXPro,4926,3/1/17
Anna Snelling,Gogozoom,GTX Plus Pro,4760,3/1/17
Markita Hansen,Y-corporation,GTX Basic,523,3/1/17
Cassey Cress,Umbrella Corporation,MG Advanced,4200,3/1/17
Gladys Colclough,Conecom,GTX Plus Pro,6719,3/1/17
Marty Freudenburg,Domzoom,GTX Basic,608,3/1/17
Anna Snelling,Treequote,MG Special,58,3/1/17
Garret Kinder,Opentech,MG Advanced,3348,3/1/17
Corliss Cosme,Betasoloin,GTX Plus Pro,5964,3/1/17
Maureen Marcano,Dalttechnology,GTX Basic,571,3/1/17
Cassey Cress,Sumace,GTXPro,4711,3/2/17
Zane Levy,Singletechno,GTX Plus Pro,5497,3/2/17
Corliss Cosme,Kinnamplus,MG Special,50,3/2/17
Anna Snelling,Scottech,GTX Basic,423,3/2/17
Reed Clapper,Donquadtech,GTX Plus Basic,950,3/2/17
Gladys Colclough,Konmatfix,GTX Plus Basic,970,3/2/17
Lajuana Vencill,Zumgoity,GTX Basic,559,3/2/17
Rosie Papadopoulos,Vehement Capital Partners,MG Special,48,3/2/17
Anna Snelling,Isdom,MG Advanced,3246,3/2/17
James Ascencio,Plexzap,GTXPro,5040,3/2/17
Niesha Huffines,Treequote,MG Advanced,3841,3/2/17
Anna Snelling,Hottechi,MG Special,60,3/2/17
Zane Levy,Hatfan,GTX Basic,517,3/2/17
Jonathan Berthelot,Inity,GTX Basic,504,3/2/17
Vicki Laflamme,J-Texon,MG Special,57,3/2/17
Daniell Hammack,Yearin,MG Advanced,3249,3/2/17
Donn Cantrell,Gekko & Co,GTX Plus Pro,4246,3/2/17
Donn Cantrell,Donquadtech,GTX Basic,462,3/2/17
Versie Hillebrand,Dontechi,MG Special,57,3/2/17
Cassey Cress,Yearin,GTX Plus Basic,1011,3/2/17
Daniell Hammack,Mathtouch,GTXPro,4475,3/3/17
Kary Hendrixson,Condax,GTX Basic,532,3/3/17
Hayden Neloms,Golddex,GTX Plus Basic,1040,3/3/17
Hayden Neloms,J-Texon,MG Advanced,3426,3/3/17
Donn Cantrell,Vehement Capital Partners,GTXPro,4998,3/3/17
Versie Hillebrand,dambase,MG Special,67,3/3/17
Moses Frase,Dontechi,GTX Basic,615,3/3/17
Corliss Cosme,Gekko & Co,MG Advanced,3351,3/3/17
Rosalina Dieter,Green-Plus,GTX Basic,635,3/3/17
Marty Freudenburg,Funholding,MG Special,52,3/3/17
Cassey Cress,Mathtouch,MG Special,53,3/3/17
Kami Bicknell,Goodsilron,GTX Plus Basic,1207,3/3/17
Marty Freudenburg,Toughzap,GTX Basic,508,3/3/17
Niesha Huffines,Zumgoity,GTX Plus Basic,1026,3/3/17
Corliss Cosme,Ontomedia,GTX Plus Pro,5790,3/3/17
Gladys Colclough,Codehow,GTXPro,4438,3/3/17
Reed Clapper,Initech,GTX Basic,537,3/3/17
Hayden Neloms,Sonron,GTX Plus Basic,1108,3/4/17
Hayden Neloms,Nam-zim,MG Special,59,3/4/17
Kary Hendrixson,Doncon,GTX Plus Pro,5425,3/4/17
Maureen Marcano,Kan-code,GTX Basic,524,3/4/17
Darcel Schlecht,Statholdings,GTX Basic,463,3/4/17
Violet Mclelland,Bioplex,MG Special,56,3/4/17
Lajuana Vencill,Stanredtax,MG Advanced,3180,3/4/17
Lajuana Vencill,Rangreen,GTX Basic,559,3/4/17
Corliss Cosme,Bioplex,MG Special,62,3/4/17
