sales_agent,account,product,order_value,create_date
Daniell Hammack,Zathunicon,GTX Plus Pro,4848,5/15/17
Kami Bicknell,Sonron,GTX Plus Pro,5491,5/10/17
Moses Frase,Statholdings,MG Special,58,5/15/17
Niesha Huffines,Genco Pura Olive Oil Company,GTX Plus Basic,1051,5/27/17
Reed Clapper,Xx-zobam,MG Advanced,3273,5/15/17
Cecily Lampkin,Funholding,MG Advanced,3668,5/23/17
Daniell Hammack,Silis,MG Advanced,3509,5/22/17
Kami Bicknell,Nam-zim,MG Advanced,3208,5/6/17
Kary Hendrixson,Kan-code,GTX Plus Pro,5782,5/4/17
Lajuana Vencill,Rangreen,GTX Plus Pro,5827,5/23/17
Moses Frase,Toughzap,MG Advanced,3025,5/11/17
Rosie Papadopoulos,Umbrella Corporation,GTXPro,4867,5/9/17
Darcel Schlecht,Toughzap,GTXPro,5010,5/5/17
Donn Cantrell,Bluth Company,GTXPro,5621,5/15/17
Donn Cantrell,Iselectrics,MG Advanced,3233,5/2/17
Garret Kinder,Acme Corporation,MG Special,55,5/28/17
Markita Hansen,Y-corporation,GTX Basic,595,5/5/17
Moses Frase,Warephase,MG Advanced,3063,5/6/17
Darcel Schlecht,Statholdings,GTXPro,5423,5/9/17
Donn Cantrell,Xx-zobam,GTX Basic,640,5/26/17
Elease Gluck,Plusstrip,GTXPro,4612,5/19/17
Jonathan Berthelot,Dontechi,MG Advanced,3281,5/6/17
Marty Freudenburg,Zumgoity,GTX Plus Basic,962,5/9/17
Rosalina Dieter,Condax,MG Special,50,5/9/17
Versie Hillebrand,Betatech,GTX Plus Pro,4494,5/17/17
Vicki Laflamme,Goodsilron,MG Advanced,3418,5/13/17
Daniell Hammack,Ganjaflex,GTX Basic,592,5/27/17
Moses Frase,Rundofase,GTX Basic,443,5/26/17
Cecily Lampkin,Conecom,GTX Basic,497,5/3/17
Corliss Cosme,Konex,GTX Plus Pro,5159,5/30/17
Darcel Schlecht,Conecom,GTXPro,4311,5/13/17
Donn Cantrell,Ganjaflex,GTX Basic,609,5/22/17
Hayden Neloms,Plexzap,MG Advanced,2964,5/26/17
Jonathan Berthelot,Rundofase,GTX Basic,528,5/27/17
Marty Freudenburg,Isdom,GTX Plus Basic,1028,5/9/17
Versie Hillebrand,Globex Corporation,MG Special,47,5/14/17
Violet Mclelland,Kan-code,MG Advanced,3749,5/23/17
Violet Mclelland,Ontomedia,MG Advanced,4204,5/27/17
Gladys Colclough,Inity,GTX Plus Pro,5331,5/15/17
Hayden Neloms,Condax,MG Advanced,4069,5/5/17
James Ascencio,Faxquote,GTX Plus Pro,5625,5/26/17
Versie Hillebrand,Dontechi,MG Special,49,5/18/17
Anna Snelling,Conecom,MG Special,51,5/28/17
Garret Kinder,Plussunin,GTX Basic,629,5/1/17
Lajuana Vencill,Rundofase,GTX Plus Basic,1044,5/31/17
